artifact,series,month,datapoint_id,value,feature_ref,source_id,source_url,source_tier,confidence,derivation_class,transform_step
bayesian_update_timeline.png|posterior_evolution.png,prior_mean,2024-01,prior_mean:2024-01,21.956205,gross_margin_gaap_pct|revenue_bil_usd,intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,public_observed,high,proxy_derived,quarterly carry-forward
bayesian_update_timeline.png|posterior_evolution.png,prior_mean,2024-01,prior_mean:2024-01,21.956205,cfo_gm_signal_strength|ifs_profitability_timeline_score,intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,public_observed,high,proxy_derived,quarterly guidance weighting
bayesian_update_timeline.png|posterior_evolution.png,prior_mean,2024-01,prior_mean:2024-01,21.956205,milestone_stage,intel_news_ramp_c,https://newsroom.intel.com/manufacturing/intel-foundry-advances-ecosystem-support-for-18a-with-ramp-c-enabled-test-chip,public_observed,high,proxy_derived,stage_as_of(event_date<=month)
bayesian_update_timeline.png|posterior_evolution.png,likelihood_mean,2024-01,likelihood_mean:2024-01,27.956205,gross_margin_gaap_pct|revenue_bil_usd,intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,public_observed,high,proxy_derived,quarterly carry-forward
bayesian_update_timeline.png|posterior_evolution.png,likelihood_mean,2024-01,likelihood_mean:2024-01,27.956205,cfo_gm_signal_strength|ifs_profitability_timeline_score,intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,public_observed,high,proxy_derived,quarterly guidance weighting
bayesian_update_timeline.png|posterior_evolution.png,likelihood_mean,2024-01,likelihood_mean:2024-01,27.956205,milestone_stage,intel_news_ramp_c,https://newsroom.intel.com/manufacturing/intel-foundry-advances-ecosystem-support-for-18a-with-ramp-c-enabled-test-chip,public_observed,high,proxy_derived,stage_as_of(event_date<=month)
bayesian_update_timeline.png|posterior_evolution.png,posterior_mean,2024-01,posterior_mean:2024-01,26.330590,gross_margin_gaap_pct|revenue_bil_usd,intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,public_observed,high,proxy_derived,quarterly carry-forward
bayesian_update_timeline.png|posterior_evolution.png,posterior_mean,2024-01,posterior_mean:2024-01,26.330590,cfo_gm_signal_strength|ifs_profitability_timeline_score,intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,public_observed,high,proxy_derived,quarterly guidance weighting
bayesian_update_timeline.png|posterior_evolution.png,posterior_mean,2024-01,posterior_mean:2024-01,26.330590,milestone_stage,intel_news_ramp_c,https://newsroom.intel.com/manufacturing/intel-foundry-advances-ecosystem-support-for-18a-with-ramp-c-enabled-test-chip,public_observed,high,proxy_derived,stage_as_of(event_date<=month)
bayesian_update_timeline.png|posterior_evolution.png,posterior_std,2024-01,posterior_std:2024-01,4.164119,gross_margin_gaap_pct|revenue_bil_usd,intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,public_observed,high,proxy_derived,quarterly carry-forward
