source_id,url,publisher,accessed_date,source_tier,license_or_usage,hash_sha256,content_type,notes
intel_pr_q2_2024,https://www.intc.com/news-events/press-releases/detail/1677/intel-reports-second-quarter-2024-financial-results,Intel IR,2026-02-25,public_observed,Public investor relations webpage; cite/quote minimally under fair use,,html,Financial highlights and 18A milestone references
intel_pr_q3_2024,https://www.intc.com/news-events/press-releases/detail/1688/intel-reports-third-quarter-2024-financial-results,Intel IR,2026-02-25,public_observed,Public investor relations webpage; cite/quote minimally under fair use,,html,Financial highlights table
intel_pr_q4_2024,https://www.intc.com/news-events/press-releases/detail/1711/intel-reports-fourth-quarter-and-full-year-2024-financial,Intel IR,2026-02-25,public_observed,Public investor relations webpage; cite/quote minimally under fair use,,html,Financial highlights table
intel_pr_q1_2025,https://www.intc.com/news-events/press-releases/detail/1720/intel-reports-first-quarter-2025-financial-results,Intel IR,2026-02-25,public_observed,Public investor relations webpage; cite/quote minimally under fair use,,html,Financial highlights table
intel_pr_q2_2025,https://www.intc.com/news-events/press-releases/detail/1730/intel-reports-second-quarter-2025-financial-results,Intel IR,2026-02-25,public_observed,Public investor relations webpage; cite/quote minimally under fair use,,html,Financial highlights table
intel_pr_q3_2025,https://www.intc.com/news-events/press-releases/detail/1738/intel-reports-third-quarter-2025-financial-results,Intel IR,2026-02-25,public_observed,Public investor relations webpage; cite/quote minimally under fair use,,html,Financial highlights table
intel_pr_q4_2025,https://www.intc.com/news-events/press-releases/detail/1746/intel-reports-fourth-quarter-and-full-year-2025-financial,Intel IR,2026-02-25,public_observed,Public investor relations webpage; cite/quote minimally under fair use,,html,Financial highlights table
intel_news_ramp_c,https://newsroom.intel.com/manufacturing/intel-foundry-advances-ecosystem-support-for-18a-with-ramp-c-enabled-test-chip,Intel Newsroom,2026-02-25,public_observed,Public newsroom content; cite with attribution,,html,18A ecosystem readiness milestone
intel_news_dod,https://newsroom.intel.com/corporate/intel-foundry-accelerates-progress-on-multiple-u-s-department-of-defense-projects,Intel Newsroom,2026-02-25,public_observed,Public newsroom content; cite with attribution,,html,DoD phase-three manufacturing milestone
intel_news_panther_lake,https://newsroom.intel.com/client-computing/intel-demonstrates-unmatched-client-leadership-with-panther-lake-and-18a-process-node,Intel Newsroom,2026-02-25,public_observed,Public newsroom content; cite with attribution,,html,Risk production and production status milestones
intel_press_direct_connect,https://www.intel.com/content/www/us/en/newsroom/press-releases/2025-intel-foundry-direct-connect.html,Intel Newsroom,2026-02-25,public_observed,Public press release content; cite with attribution,,html,Test chip timing and ecosystem context
intel_pdf_direct_connect,https://cdrdv2.intel.com/v1/dl/getContent/839813,Intel,2026-02-25,public_observed,Public PDF content; cite with attribution,,pdf,Direct Connect briefing slides
fictional_case_study_pdf,attached://fictional_case_study.pdf,User-attached case study,2026-02-25,subjective_prior,User-provided fictional case study; use only as subjective scenario prior,,pdf,Educated-guess prior source; not hard observed truth
nasa_terminal_attempt,mcporter:nasa-terminal,NASA Terminal MCP,2026-02-25,tooling_attempt,Tool output may include third-party data; verify before use,,json,Attempted research failed in this environment with fetch errors
